match_id,blue_win,blue_top_champion_name,blue_jungle_champion_name,blue_mid_champion_name,blue_adc_champion_name,blue_support_champion_name,red_top_champion_name,red_jungle_champion_name,red_mid_champion_name,red_adc_champion_name,red_support_champion_name,blue_avg_rank,red_avg_rank,blue_avg_recent_wr,red_avg_recent_wr,blue_avg_mastery,red_avg_mastery,top_matchup_wr,jungle_matchup_wr,mid_matchup_wr,adc_matchup_wr,support_matchup_wr,avg_matchup_wr,rank_diff,recent_wr_diff,mastery_diff
EUN1_3932019152,0,Darius,Khazix,Fizz,Kaisa,Velkoz,Malphite,Graves,Malzahar,Jhin,Seraphine,0.0,0.0,0.62,0.56,295930.6,194665.4,0.8,0.0,0.5,0.0,0.5,0.36,0.0,0.05999999999999994,101265.19999999998
EUN1_3917987760,1,Yorick,Lillia,Irelia,Aphelios,Morgana,Kled,Viego,Lucian,Caitlyn,Taliyah,0.0,0.0,0.42,0.38,62748.2,122534.8,1.0,1.0,1.0,0.4,1.0,0.8800000000000001,0.0,0.03999999999999998,-59786.600000000006
EUN1_3925153835,1,Yorick,Graves,Veigar,Jinx,Taric,TahmKench,Jax,Ekko,Varus,Sona,0.0,0.0,0.46,0.42,53679.6,56589.6,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.8,0.0,0.040000000000000036,-2910.0
EUN1_3924175173,1,Quinn,Naafiri,Diana,Vayne,Seraphine,Darius,FiddleSticks,Ahri,Caitlyn,Lux,0.0,0.0,0.32,0.56,209659.6,401227.6,0.3333333333333333,1.0,0.8,0.4444444444444444,0.5294117647058824,0.621437908496732,0.0,-0.24000000000000005,-191567.99999999997
EUN1_3932036786,0,Heimerdinger,Kindred,Mel,Xayah,TahmKench,Ornn,Ekko,Zed,Ashe,Velkoz,0.0,0.0,0.58,0.44,136807.4,62120.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.2333333333333333,0.0,0.13999999999999996,74687.4
EUN1_3929844525,0,Fiora,Teemo,Akshan,Twitch,Rell,Nasus,Kayn,Lux,Caitlyn,Pyke,0.0,0.0,0.46,0.5,52328.2,138885.2,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,-0.03999999999999998,-86557.00000000001
EUN1_3932090874,1,Renekton,Volibear,Sylas,Ashe,Blitzcrank,Urgot,Shen,Naafiri,MissFortune,Brand,0.0,0.0,0.32,0.66,16700.0,199767.0,1.0,1.0,1.0,0.3888888888888889,1.0,0.8777777777777779,0.0,-0.34,-183067.0
EUN1_3932256913,0,Volibear,Tryndamere,Malzahar,Kaisa,Morgana,Kayle,Viego,Yasuo,Draven,Mel,0.0,0.0,0.32,0.5,245034.6,46828.4,0.3333333333333333,0.0,0.6666666666666666,0.25,0.2857142857142857,0.3071428571428571,0.0,-0.18,198206.2
EUN1_3922451187,0,Urgot,Viego,Vladimir,MissFortune,Seraphine,Pantheon,Hecarim,Ryze,Ezreal,Leona,0.0,0.0,0.38,0.5,125761.2,340205.2,0.0,0.5,0.0,0.375,0.625,0.3,0.0,-0.12,-214444.0
EUN1_3931180229,1,Illaoi,Shyvana,Yasuo,Jhin,Leona,Yone,Nocturne,Lissandra,Twitch,Senna,0.0,0.0,0.52,0.54,28147.0,53153.2,0.75,0.6,0.5,0.4,0.5,0.55,0.0,-0.020000000000000018,-25006.199999999997
EUN1_3928884997,0,Tryndamere,Hecarim,Velkoz,Jinx,TahmKench,Teemo,FiddleSticks,Irelia,MissFortune,Brand,0.0,0.0,0.46,0.4267,471672.4,30188.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.07692307692307693,0.0,0.033299999999999996,441484.4
EUN1_3931503137,0,Illaoi,Jax,Veigar,Jinx,Yuumi,Teemo,Viego,Malzahar,Caitlyn,Mel,0.0,0.0,0.44,0.5,274480.2,151667.0,0.4,0.42857142857142855,0.5,0.5882352941176471,0.5,0.4833613445378151,0.0,-0.06,122813.20000000001
EUN1_3916744680,1,Yone,Malphite,Orianna,Caitlyn,Mel,Teemo,Ekko,Veigar,Jhin,Lux,0.0,0.0,0.6,0.4,217264.0,129381.8,0.5,1.0,0.6666666666666666,0.375,0.5714285714285714,0.6226190476190476,0.0,0.19999999999999996,87882.2
EUN1_3931692838,1,Fiora,Talon,Yone,MissFortune,TahmKench,Volibear,Rengar,Naafiri,Ashe,Seraphine,0.0,0.0,0.52,0.46,58463.8,277665.4,1.0,1.0,0.42857142857142855,0.46153846153846156,0.6666666666666666,0.7113553113553113,0.0,0.06,-219201.60000000003
EUN1_3931341919,1,Rumble,Kayn,Irelia,MissFortune,TahmKench,Kayle,Nasus,Thresh,Twitch,Soraka,0.0,0.0,0.5,0.52,96195.8,181572.6,1.0,1.0,1.0,0.5714285714285714,1.0,0.9142857142857143,0.0,-0.020000000000000018,-85376.8
EUN1_3931620252,0,Heimerdinger,Malphite,Neeko,Jinx,TahmKench,Akali,Amumu,Kassadin,Ezreal,Pyke,0.0,0.0,0.52,0.42,107584.8,355828.2,0.0,0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,0.0,0.10000000000000003,-248243.40000000002
EUN1_3931984154,1,Morgana,Kayn,Veigar,MissFortune,Nautilus,DrMundo,Nocturne,Anivia,Ashe,Mel,0.0,0.0,0.4,0.36,101855.4,461352.8,1.0,0.8333333333333334,0.5,0.46153846153846156,0.25,0.608974358974359,0.0,0.040000000000000036,-359497.4
EUN1_3931135310,1,Teemo,MasterYi,Yasuo,Lucian,Lux,Malphite,Amumu,Mel,Jhin,Rakan,0.0,0.0,0.5,0.5333,278099.2,96797.0,1.0,0.25,0.4,0.6,1.0,0.65,0.0,-0.033299999999999996,181302.2
EUN1_3928452815,1,Malphite,Khazix,Xerath,Caitlyn,Lux,Trundle,Ekko,Akali,Tristana,Mel,0.0,0.0,0.5,0.52,72423.6,44535.2,1.0,0.3333333333333333,0.4,0.36363636363636365,0.5,0.5193939393939394,0.0,-0.020000000000000018,27888.40000000001
EUN1_3929895019,1,Sion,Kayn,Vex,Jinx,Leona,Urgot,Zed,Yasuo,Renata,Yone,0.0,0.0,0.48,0.48,55774.2,344338.2,1.0,1.0,0.4,1.0,1.0,0.8800000000000001,0.0,0.0,-288564.0
EUN1_3931847658,0,Teemo,Warwick,Yasuo,MissFortune,Leona,Quinn,Shyvana,Akali,Lucian,Braum,0.0,0.0,0.52,0.58,85296.2,47279.2,0.5,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.5,0.42222222222222217,0.0,-0.05999999999999994,38017.0
EUN1_3931914405,1,Teemo,Morgana,Mel,Kalista,Braum,Singed,Ekko,Malphite,Smolder,Nami,0.0,0.0,0.48,0.52,171292.6,157832.6,0.6666666666666666,1.0,1.0,1.0,1.0,0.9333333333333332,0.0,-0.040000000000000036,13460.0
EUN1_3931977333,0,Kayle,Warwick,Lux,Jinx,Braum,Trundle,JarvanIV,Draven,Corki,Seraphine,0.0,0.0,0.52,0.54,229137.2,77207.6,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.2,0.0,-0.020000000000000018,151929.6
EUN1_3928646591,1,Teemo,Nocturne,Malzahar,Samira,Lux,Ambessa,Vi,Veigar,Caitlyn,Pyke,0.0,0.0,0.58,0.54,38665.6,91948.6,1.0,0.5,0.5714285714285714,0.4666666666666667,0.42857142857142855,0.5933333333333333,0.0,0.039999999999999925,-53283.00000000001
EUN1_3930122424,0,Jax,Talon,AurelionSol,Caitlyn,Morgana,Yasuo,Warwick,Irelia,MissFortune,Seraphine,0.0,0.0,0.42,0.44,113399.4,196977.0,0.0,0.5,0.0,0.3333333333333333,0.45454545454545453,0.25757575757575757,0.0,-0.020000000000000018,-83577.6
EUN1_3924534737,0,Vladimir,Viego,Fizz,Lucian,DrMundo,Darius,Ezreal,Yone,Samira,Mel,0.0,0.0,0.38,0.525,132674.0,38019.2,0.0,0.0,0.75,0.0,0.5,0.25,0.0,-0.14500000000000002,94654.8
EUN1_3930563827,1,Mordekaiser,Viego,Xerath,Smolder,Seraphine,Gnar,Shaco,Zed,MissFortune,Malphite,0.0,0.0,0.56,0.54,108376.8,115363.6,1.0,0.2,1.0,0.2857142857142857,1.0,0.6971428571428572,0.0,0.020000000000000018,-6986.800000000003
EUN1_3930374409,0,Yorick,Warwick,Aurora,Caitlyn,Nami,Mordekaiser,Jax,Fizz,Kaisa,Thresh,0.0,0.0,0.48,0.44,131958.4,62195.8,0.5,0.4,0.0,0.25,0.0,0.22999999999999998,0.0,0.03999999999999998,69762.59999999999
EUN1_3926788482,0,TahmKench,Briar,Fizz,Vayne,Morgana,Mordekaiser,Shyvana,Pantheon,Ezreal,Mel,0.0,0.0,0.54,0.52,205505.6,76624.2,0.0,0.6666666666666666,0.0,0.5,0.2857142857142857,0.29047619047619044,0.0,0.020000000000000018,128881.40000000001
EUN1_3920989672,0,Ornn,Evelynn,Ziggs,Samira,Xerath,Quinn,Naafiri,Yone,Veigar,Seraphine,0.0,0.0,0.44,0.34,135641.0,185534.2,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.2,0.0,0.09999999999999998,-49893.20000000001
EUN1_3931322801,0,Yone,Amumu,Leblanc,Caitlyn,Seraphine,Ornn,Tryndamere,Ziggs,Smolder,Thresh,0.0,0.0,0.5,0.58,67920.2,52279.8,0.0,0.0,0.0,0.5555555555555556,0.0,0.11111111111111112,0.0,-0.07999999999999996,15640.399999999994
EUN1_3928558553,1,Kayle,Kayn,Akshan,MissFortune,Blitzcrank,Aatrox,Nocturne,Yone,Jhin,Seraphine,0.0,0.0,0.58,0.48,42399.4,71036.4,1.0,0.8333333333333334,1.0,0.5882352941176471,0.2857142857142857,0.7414565826330533,0.0,0.09999999999999998,-28636.999999999993
EUN1_3916596370,1,Illaoi,XinZhao,Malzahar,Varus,Nautilus,Yasuo,Amumu,Veigar,Twitch,Thresh,0.0,0.0,0.44,0.48,272032.4,119969.2,1.0,0.5,0.5714285714285714,1.0,0.6666666666666666,0.7476190476190475,0.0,-0.03999999999999998,152063.2
EUN1_3930939223,0,Malphite,Trundle,Malzahar,Ashe,Zoe,Sion,Briar,Ahri,Yunara,Veigar,0.0,0.0,0.44,0.48,812218.8,90358.2,0.0,0.0,0.375,0.0,0.0,0.075,0.0,-0.03999999999999998,721860.6000000001
EUN1_3932172961,1,Naafiri,Viego,Irelia,Tristana,Mel,Trundle,LeeSin,Veigar,Kaisa,Lux,0.0,0.0,0.46,0.42,181731.8,249749.4,1.0,1.0,1.0,0.6666666666666666,0.5714285714285714,0.8476190476190476,0.0,0.040000000000000036,-68017.6
EUN1_3929939581,0,Illaoi,MasterYi,Annie,MissFortune,Milio,Yone,Shaco,Akali,Senna,Maokai,0.0,0.0,0.4,0.52,228424.4,158680.0,0.75,0.5,0.0,0.0,0.0,0.25,0.0,-0.12,69744.4
EUN1_3931598763,1,Vayne,Kayn,Ryze,Lucian,Anivia,Yasuo,Shyvana,Chogath,Jhin,Yuumi,0.0,0.0,0.5,0.48,69772.2,301459.4,0.6666666666666666,0.4166666666666667,1.0,0.6,1.0,0.7366666666666666,0.0,0.020000000000000018,-231687.2
EUN1_3932210754,1,Irelia,Amumu,Ahri,Caitlyn,Zyra,Singed,Shaco,Lissandra,Tristana,Shen,0.0,0.0,0.54,0.3,288470.8,171572.8,0.6666666666666666,0.75,1.0,0.36363636363636365,1.0,0.7560606060606061,0.0,0.24000000000000005,116898.0
EUN1_3913261416,0,Gangplank,Brand,Akali,Mel,Lux,Teemo,Ekko,Fizz,Jinx,Braum,0.0,0.0,0.4,0.42,232491.2,196732.4,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2333333333333333,0.0,-0.019999999999999962,35758.80000000002
EUN1_3930824460,0,Malphite,Shyvana,Akali,MissFortune,Leona,Chogath,Kayn,Lux,Ezreal,Seraphine,0.0,0.0,0.52,0.5,26856.6,136527.8,0.0,0.5,0.0,0.375,0.25,0.225,0.0,0.020000000000000018,-109671.19999999998
EUN1_3931615505,0,Irelia,Viego,AurelionSol,MissFortune,Lux,KSante,XinZhao,Akshan,Tristana,Swain,0.0,0.0,0.56,0.54,57729.2,463704.6,0.3333333333333333,0.0,0.0,0.36363636363636365,0.6,0.2593939393939394,0.0,0.020000000000000018,-405975.39999999997
EUN1_3931624527,0,Illaoi,Kayn,Naafiri,Jinx,Blitzcrank,Garen,Lillia,Diana,MissFortune,TahmKench,0.0,0.0,0.5,0.6,81735.4,25196.4,0.0,0.3333333333333333,0.5,0.38461538461538464,0.5,0.3435897435897436,0.0,-0.09999999999999998,56538.99999999999
EUN1_3930563502,0,Camille,Kindred,Yone,MissFortune,Senna,Yorick,Warwick,Draven,Smolder,Brand,0.0,0.0,0.44,0.54,107065.0,67217.4,0.0,0.0,0.0,0.625,0.25,0.175,0.0,-0.10000000000000003,39847.600000000006
EUN1_3931312047,0,Olaf,Viego,Akali,Caitlyn,Lux,Garen,Amumu,Fizz,Jhin,Zilean,0.0,0.0,0.44,0.56,164572.2,657637.0,0.0,0.0,0.3333333333333333,0.375,0.4,0.22166666666666668,0.0,-0.12000000000000005,-493064.8
EUN1_3930666911,1,Jax,Volibear,Ahri,Aphelios,Mel,Yone,Nocturne,Zed,MissFortune,Senna,0.0,0.0,0.36,0.3771,82552.4,27333.2,0.5,0.4,0.375,1.0,0.6666666666666666,0.5883333333333333,0.0,-0.017100000000000004,55219.2
EUN1_3930541854,1,Mordekaiser,JarvanIV,Kalista,Caitlyn,Lux,Warwick,Rengar,Vex,Ashe,Nautilus,0.0,0.0,0.4,0.46,201714.2,58194.6,0.5,1.0,1.0,0.6875,0.5,0.7375,0.0,-0.06,143519.6
EUN1_3931291402,0,DrMundo,Kayn,Fizz,Zeri,Rammus,Darius,Lillia,Vladimir,Caitlyn,Yuumi,0.0,0.0,0.54,0.38,343633.0,42171.4,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.2,0.0,0.16000000000000003,301461.6
EUN1_3920535300,0,Renekton,Briar,Sylas,Nilah,Brand,Gwen,Zaahen,Annie,Mel,Seraphine,0.0,0.0,0.5,0.34,106411.6,76897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999998,29514.600000000006
EUN1_3917804937,1,Vayne,Amumu,Ahri,MissFortune,Mel,Gwen,Khazix,Zyra,Varus,Morgana,0.0,0.0,0.42,0.42,245312.4,558474.0,1.0,1.0,1.0,0.5555555555555556,0.42857142857142855,0.7968253968253968,0.0,0.0,-313161.6
EUN1_3927697342,0,Garen,Warwick,Annie,Samira,Morgana,Jax,Amumu,Diana,MissFortune,Zyra,0.0,0.0,0.54,0.4,146436.4,152541.6,0.3333333333333333,0.25,0.0,0.14285714285714285,0.3333333333333333,0.21190476190476187,0.0,0.14,-6105.200000000012
EUN1_3924835200,0,Shen,Viego,Malzahar,Ezreal,Ashe,Sion,JarvanIV,Aurora,Swain,Zyra,0.0,0.0,0.42,0.42,38580.8,176611.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138030.59999999998
EUN1_3931764117,1,MasterYi,Sylas,Kassadin,Senna,Zyra,Sett,Diana,Veigar,Tristana,TahmKench,0.0,0.0,0.38,0.52,248542.8,78035.2,0.5,0.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,-0.14,170507.59999999998
EUN1_3931827004,1,Irelia,Amumu,Yone,Vayne,Neeko,Singed,LeeSin,Ahri,Jinx,AurelionSol,0.0,0.0,0.5,0.56,120405.2,205547.6,0.6666666666666666,1.0,0.5,0.5,1.0,0.7333333333333333,0.0,-0.06000000000000005,-85142.40000000001
EUN1_3932277221,1,Jax,Nocturne,Ahri,Twitch,Alistar,TahmKench,MasterYi,Yone,Smolder,Lux,0.0,0.0,0.5,0.36,73027.8,115882.8,1.0,1.0,0.6,0.5,0.6666666666666666,0.7533333333333333,0.0,0.14,-42855.0
EUN1_3916959976,0,Yorick,Viego,Veigar,Jinx,Lulu,Yone,Mordekaiser,Galio,Caitlyn,Brand,0.0,0.0,0.42,0.52,121632.2,91342.2,0.5,0.0,0.0,0.5882352941176471,0.5,0.31764705882352945,0.0,-0.10000000000000003,30290.0
EUN1_3931760225,0,Chogath,Shen,Lissandra,Samira,Morgana,Yone,Briar,Mel,MissFortune,Shaco,0.0,0.0,0.52,0.46,32876.6,87631.2,0.0,0.0,0.25,0.14285714285714285,0.3333333333333333,0.14523809523809522,0.0,0.06,-54754.6
EUN1_3931835614,0,Sett,Nocturne,Annie,Smolder,Pantheon,Garen,Amumu,Yasuo,MissFortune,Morgana,0.0,0.0,0.48,0.4267,34438.4,28710.0,0.0,0.3333333333333333,0.0,0.2857142857142857,0.5,0.22380952380952382,0.0,0.05329999999999996,5728.4000000000015
EUN1_3931159517,1,Teemo,Viego,AurelionSol,Lucian,Yuumi,Irelia,Jax,Tryndamere,Mel,Lux,0.0,0.0,0.52,0.52,88550.4,46044.6,1.0,0.42857142857142855,1.0,1.0,0.6,0.8057142857142857,0.0,0.0,42505.799999999996
EUN1_3924406363,1,Mordekaiser,Vi,Yasuo,Yunara,Nami,Yone,JarvanIV,Katarina,Kaisa,Karma,0.0,0.0,0.44,0.42,58964.8,398984.0,0.5,1.0,0.16666666666666666,1.0,1.0,0.7333333333333334,0.0,0.020000000000000018,-340019.2
EUN1_3930235216,0,Sett,Malphite,Sylas,Smolder,Nami,Teemo,XinZhao,Katarina,Kaisa,Lux,0.0,0.0,0.6,0.5,31600.4,248522.6,0.3333333333333333,0.0,0.0,0.6666666666666666,0.25,0.25,0.0,0.09999999999999998,-216922.2
EUN1_3928601290,0,Urgot,Malphite,Yasuo,Smolder,Nautilus,Nasus,Khazix,Veigar,Tristana,Swain,0.0,0.0,0.48,0.48,128222.2,12417.2,0.5,0.0,0.6666666666666666,0.25,0.0,0.2833333333333333,0.0,0.0,115805.0
EUN1_3929415322,0,Akshan,Yorick,Mel,Samira,Nautilus,DrMundo,Rengar,Yone,Vayne,Soraka,0.0,0.0,0.6,0.46,105695.6,180643.2,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.0,0.13999999999999996,-74947.6
EUN1_3929491711,1,Brand,Volibear,Akali,Graves,Mel,Mordekaiser,Ekko,Malphite,MissFortune,TahmKench,0.0,0.0,0.46,0.5,56890.2,153907.2,1.0,1.0,1.0,1.0,0.4,0.8800000000000001,0.0,-0.03999999999999998,-97017.00000000001
EUN1_3931022703,0,TahmKench,MasterYi,Diana,MissFortune,Swain,Mordekaiser,Amumu,Veigar,Varus,Nautilus,0.0,0.0,0.52,0.42,504397.2,262095.6,0.0,0.25,0.0,0.5555555555555556,0.25,0.2111111111111111,0.0,0.10000000000000003,242301.6
EUN1_3931051439,0,Mordekaiser,Jax,Seraphine,Sivir,Pyke,Volibear,Briar,Lissandra,Jinx,Lux,0.0,0.0,0.5,0.52,54315.0,7442.8,0.25,0.0,0.0,0.0,0.4,0.13,0.0,-0.020000000000000018,46872.2
EUN1_3929915283,0,Quinn,MasterYi,Lux,Aphelios,Xerath,Ashe,Diana,Zed,Jhin,Morgana,0.0,0.0,0.38,0.46,139114.4,559400.0,0.0,0.4,0.0,0.3333333333333333,0.0,0.14666666666666667,0.0,-0.08000000000000002,-420285.6
EUN1_3924289587,0,Aatrox,Rengar,Orianna,Caitlyn,Yuumi,Illaoi,Amumu,Zed,MissFortune,Brand,0.0,0.0,0.4333,0.48,85525.2,124870.6,0.0,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.0,-0.046699999999999964,-39345.40000000001
EUN1_3931706619,1,Sion,Kayn,Katarina,Kaisa,Seraphine,Malphite,Sylas,Qiyana,KogMaw,Ahri,0.0,0.0,0.34,0.52,71934.0,229781.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.18,-157847.0
EUN1_3932232255,1,Volibear,Rengar,Lissandra,Xayah,Morgana,Nasus,Kayn,Yone,Vayne,Kayle,0.0,0.0,0.46,0.68,52775.8,631657.2,1.0,1.0,0.3333333333333333,0.5,1.0,0.7666666666666667,0.0,-0.22000000000000003,-578881.3999999999
EUN1_3931361974,0,Yasuo,Rengar,Lissandra,Samira,Pyke,Jax,Diana,Katarina,Caitlyn,Brand,0.0,0.0,0.32,0.52,97217.6,80448.6,0.0,0.0,0.0,0.4666666666666667,0.3333333333333333,0.16,0.0,-0.2,16769.0
EUN1_3923367247,1,Fiora,Nocturne,Swain,Vayne,Renata,Yunara,Sion,Ahri,Samira,Garen,0.0,0.0,0.44,0.28,201146.8,29800.4,1.0,1.0,1.0,0.25,1.0,0.85,0.0,0.15999999999999998,171346.4
EUN1_3931679935,0,Darius,MasterYi,Aurora,Senna,Brand,Illaoi,Kayn,Veigar,Samira,Swain,0.0,0.0,0.58,0.56,219213.2,333151.8,0.5,0.2727272727272727,0.0,0.0,0.0,0.15454545454545454,0.0,0.019999999999999907,-113938.59999999998
EUN1_3929166733,0,Briar,Shyvana,Vex,Sivir,Morgana,Yorick,FiddleSticks,Fizz,Tristana,Velkoz,0.0,0.0,0.42,0.5,20693.0,24287.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000002,-3594.4000000000015
EUN1_3930909132,0,Sett,Nautilus,Talon,Mel,Poppy,Pantheon,MasterYi,Lux,Caitlyn,Blitzcrank,0.0,0.0,0.44,0.34,211323.8,214490.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.09999999999999998,-3166.2000000000116
EUN1_3924864340,1,Cassiopeia,Volibear,Ahri,MissFortune,Swain,Jax,Shen,Yone,Samira,Mel,0.0,0.0,0.36,0.42,172070.0,57920.2,1.0,1.0,0.6,0.5,1.0,0.82,0.0,-0.06,114149.8
EUN1_3931769866,1,Illaoi,Nasus,Lissandra,Jhin,Nautilus,Naafiri,Rammus,Mel,Lucian,Milio,0.0,0.0,0.42,0.5,97388.0,19312.2,1.0,1.0,0.25,0.75,1.0,0.8,0.0,-0.08000000000000002,78075.8
EUN1_3932097694,1,Darius,Nunu,Vladimir,Xayah,Brand,Kled,Shaco,Yasuo,Swain,Pantheon,0.0,0.0,0.52,0.5,67365.0,85664.4,1.0,0.6666666666666666,1.0,1.0,1.0,0.9333333333333332,0.0,0.020000000000000018,-18299.399999999994
EUN1_3928377651,1,Mordekaiser,Warwick,Syndra,Tristana,Lulu,Yasuo,Malphite,Annie,Varus,Lux,0.0,0.0,0.36,0.42,244965.8,114102.8,1.0,0.5,1.0,1.0,0.3333333333333333,0.7666666666666667,0.0,-0.06,130862.99999999999
EUN1_3932018585,1,Yasuo,Amumu,Veigar,Samira,Rell,Darius,MasterYi,Vex,Jhin,Xerath,0.0,0.0,0.5,0.52,43087.6,294955.6,0.5,1.0,1.0,0.5714285714285714,1.0,0.8142857142857143,0.0,-0.020000000000000018,-251867.99999999997
EUN1_3929496876,1,Sett,Hecarim,Ahri,Swain,Veigar,Kayle,Diana,Katarina,Jhin,Nami,0.0,0.0,0.42,0.44,86480.2,32185.0,0.5,1.0,1.0,1.0,1.0,0.9,0.0,-0.020000000000000018,54295.2
EUN1_3931005240,0,Nasus,Trundle,Veigar,Jhin,Thresh,Shen,Malphite,Velkoz,MissFortune,Sona,0.0,0.0,0.54,0.48,183072.6,77971.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.05454545454545454,0.0,0.06000000000000005,105101.6
EUN1_3931427041,0,Warwick,MasterYi,Ryze,Caitlyn,Nunu,Sett,Rammus,Brand,Twitch,Morgana,0.0,0.0,0.46,0.48,190666.6,39961.6,0.0,0.75,0.0,0.5,0.0,0.25,0.0,-0.019999999999999962,150705.0
EUN1_3930322557,0,TahmKench,Malphite,Kassadin,Ziggs,Rell,Yone,XinZhao,Morgana,Varus,Lux,0.0,0.0,0.58,0.44,37137.8,563353.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13999999999999996,-526216.0
EUN1_3930637444,0,Gwen,Hecarim,Aurora,Kaisa,Bard,Yorick,Viego,Malzahar,Caitlyn,Vi,0.0,0.0,0.46,0.58,31567.4,176645.4,0.5,0.2,0.0,0.42857142857142855,0.0,0.2257142857142857,0.0,-0.11999999999999994,-145078.0
EUN1_3920477451,0,Nasus,Rammus,Vex,Twitch,Seraphine,Darius,MasterYi,Ahri,Zyra,Lux,0.0,0.0,0.72,0.44,45909.6,242211.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5294117647058824,0.2392156862745098,0.0,0.27999999999999997,-196301.4
EUN1_3931142847,0,Senna,Shaco,Yasuo,Ashe,Sona,Jax,XinZhao,Vex,Ezreal,Lulu,0.0,0.0,0.34,0.44,33680.2,105217.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.2333333333333333,0.0,-0.09999999999999998,-71536.8
EUN1_3930177581,0,Darius,Shyvana,Katarina,Caitlyn,Sona,Yasuo,Volibear,Akali,MissFortune,Thresh,0.0,0.0,0.46,0.52,32523.2,373476.0,0.0,0.3333333333333333,0.4,0.3333333333333333,0.0,0.21333333333333332,0.0,-0.06,-340952.8
EUN1_3929176908,0,Kled,Briar,Akali,Smolder,Pyke,Nasus,Warwick,Aurora,Caitlyn,Zyra,0.0,0.0,0.54,0.64,52794.4,39088.6,0.0,0.5,0.3333333333333333,0.4444444444444444,0.0,0.25555555555555554,0.0,-0.09999999999999998,13705.800000000003
EUN1_3921135107,1,Jax,FiddleSticks,Ahri,Sivir,Thresh,Volibear,Lillia,Yasuo,Caitlyn,Velkoz,0.0,0.0,0.58,0.42,193419.2,294748.0,1.0,0.5,0.36363636363636365,1.0,1.0,0.7727272727272727,0.0,0.15999999999999998,-101328.79999999999
EUN1_3931098864,0,Malphite,Viego,Lux,Varus,Zyra,Quinn,Lillia,Yasuo,MissFortune,Morgana,0.0,0.0,0.42,0.34,68972.0,386229.8,0.3333333333333333,0.5,0.4,0.25,0.8,0.45666666666666667,0.0,0.07999999999999996,-317257.8
EUN1_3928580737,1,Sett,MasterYi,Vex,Corki,Lux,TahmKench,Warwick,Lissandra,Tristana,Zyra,0.0,0.0,0.52,0.5,98838.4,168490.4,0.6666666666666666,0.5,1.0,0.5,1.0,0.7333333333333333,0.0,0.020000000000000018,-69652.0
EUN1_3931957868,0,Teemo,Vi,Ahri,Vayne,Mel,Urgot,Jax,Akali,Jinx,Seraphine,0.0,0.0,0.36,0.48,132220.2,125721.0,0.0,0.0,0.2857142857142857,0.5,0.625,0.28214285714285714,0.0,-0.12,6499.200000000012
EUN1_3932234116,1,Sion,Tryndamere,Anivia,Ashe,Brand,Sett,Shyvana,Xerath,MissFortune,Morgana,0.0,0.0,0.36,0.48,85579.4,196197.2,1.0,1.0,1.0,0.3888888888888889,0.3333333333333333,0.7444444444444445,0.0,-0.12,-110617.80000000002
EUN1_3930724820,1,Teemo,Viego,Zoe,Swain,Blitzcrank,Zaahen,Udyr,Mel,Samira,Morgana,0.0,0.0,0.52,0.54,70948.4,121952.8,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.0,-0.020000000000000018,-51004.40000000001
EUN1_3931896733,0,Yorick,Singed,Zed,Twitch,Teemo,Kayle,Shyvana,Yasuo,Caitlyn,Lux,0.0,0.0,0.48,0.42,140949.4,92587.4,0.5,0.0,0.25,0.3333333333333333,0.5,0.31666666666666665,0.0,0.06,48362.0
EUN1_3930898345,1,Mordekaiser,Warwick,Veigar,Ashe,Lux,Garen,Sejuani,Zed,Ezreal,Neeko,0.0,0.0,0.4,0.4,208777.4,75739.0,0.5,1.0,0.6,0.5,0.6666666666666666,0.6533333333333333,0.0,0.0,133038.4
EUN1_3924066337,0,Zaahen,Poppy,Galio,MissFortune,DrMundo,Sion,Ivern,Ekko,Jinx,TahmKench,0.0,0.0,0.56,0.44,27174.8,31787.8,0.0,0.0,0.0,0.5666666666666667,0.0,0.11333333333333333,0.0,0.12000000000000005,-4613.0
